UF;NOME DA REGIAO DE SAUDE;COD. DA REGIAO DE SAUDE;NOME DO MUNICIPIO;COD. IBGE DO MUNICIPIO
AC;ALTO ACRE;12001;ASSIS BRASIL;120005
AC;ALTO ACRE;12001;BRASILEIA;120010
AC;ALTO ACRE;12001;EPITACIOLANDIA;120025
AC;ALTO ACRE;12001;XAPURI;120070
AC;BAIXO ACRE E PURUS;12002;ACRELANDIA;120001
AC;BAIXO ACRE E PURUS;12002;BUJARI;120013
AC;BAIXO ACRE E PURUS;12002;CAPIXABA;120017
AC;BAIXO ACRE E PURUS;12002;JORDAO;120032
AC;BAIXO ACRE E PURUS;12002;MANOEL URBANO;120034
AC;BAIXO ACRE E PURUS;12002;PLACIDO DE CASTRO;120038
AC;BAIXO ACRE E PURUS;12002;PORTO ACRE;120080
AC;BAIXO ACRE E PURUS;12002;RIO BRANCO;120040
AC;BAIXO ACRE E PURUS;12002;SANTA ROSA DO PURUS;120043
AC;BAIXO ACRE E PURUS;12002;SENA MADUREIRA;120050
AC;BAIXO ACRE E PURUS;12002;SENADOR GUIOMARD;120045
AC;JURUA E TARAUACA/ENVIRA;12003;CRUZEIRO DO SUL;120020
AC;JURUA E TARAUACA/ENVIRA;12003;FEIJO;120030
AC;JURUA E TARAUACA/ENVIRA;12003;MANCIO LIMA;120033
AC;JURUA E TARAUACA/ENVIRA;12003;MARECHAL THAUMATURGO;120035
AC;JURUA E TARAUACA/ENVIRA;12003;PORTO WALTER;120039
AC;JURUA E TARAUACA/ENVIRA;12003;RODRIGUES ALVES;120042
AC;JURUA E TARAUACA/ENVIRA;12003;TARAUACA;120060
AL;1ª REGIAO DE SAUDE;27001;BARRA DE SANTO ANTONIO;270050
AL;1ª REGIAO DE SAUDE;27001;BARRA DE SAO MIGUEL;270060
AL;1ª REGIAO DE SAUDE;27001;COQUEIRO SECO;270220
AL;1ª REGIAO DE SAUDE;27001;FLEXEIRAS;270280
AL;1ª REGIAO DE SAUDE;27001;MACEIO;270430
AL;1ª REGIAO DE SAUDE;27001;MARECHAL DEODORO;270470
AL;1ª REGIAO DE SAUDE;27001;MESSIAS;270520
AL;1ª REGIAO DE SAUDE;27001;PARIPUEIRA;270644
AL;1ª REGIAO DE SAUDE;27001;PILAR;270690
AL;1ª REGIAO DE SAUDE;27001;RIO LARGO;270770
AL;1ª REGIAO DE SAUDE;27001;SANTA LUZIA DO NORTE;270790
AL;1ª REGIAO DE SAUDE;27001;SATUBA;270890
AL;2ª REGIAO DE SAUDE;27002;JACUIPE;270350
AL;2ª REGIAO DE SAUDE;27002;JAPARATINGA;270360
AL;2ª REGIAO DE SAUDE;27002;MARAGOGI;270450
AL;2ª REGIAO DE SAUDE;27002;MATRIZ DE CAMARAGIBE;270510
AL;2ª REGIAO DE SAUDE;27002;PASSO DE CAMARAGIBE;270650
AL;2ª REGIAO DE SAUDE;27002;PORTO CALVO;270730
AL;2ª REGIAO DE SAUDE;27002;PORTO DE PEDRAS;270740
AL;2ª REGIAO DE SAUDE;27002;SAO LUIS DO QUITUNDE;270850
AL;2ª REGIAO DE SAUDE;27002;SAO MIGUEL DOS MILAGRES;270870
AL;3ª REGIAO DE SAUDE;27003;BRANQUINHA;270110
AL;3ª REGIAO DE SAUDE;27003;CAMPESTRE;270135
AL;3ª REGIAO DE SAUDE;27003;COLONIA LEOPOLDINA;270210
AL;3ª REGIAO DE SAUDE;27003;IBATEGUARA;270300
AL;3ª REGIAO DE SAUDE;27003;JOAQUIM GOMES;270380
AL;3ª REGIAO DE SAUDE;27003;JUNDIA;270390
AL;3ª REGIAO DE SAUDE;27003;MURICI;270550
AL;3ª REGIAO DE SAUDE;27003;NOVO LINO;270560
AL;3ª REGIAO DE SAUDE;27003;SANTANA DO MUNDAU;270810
AL;3ª REGIAO DE SAUDE;27003;SAO JOSE DA LAJE;270830
AL;3ª REGIAO DE SAUDE;27003;UNIAO DOS PALMARES;270930
AL;4ª REGIAO DE SAUDE;27004;ATALAIA;270040
AL;4ª REGIAO DE SAUDE;27004;CAJUEIRO;270130
AL;4ª REGIAO DE SAUDE;27004;CAPELA;270170
AL;4ª REGIAO DE SAUDE;27004;CHA PRETA;270190
AL;4ª REGIAO DE SAUDE;27004;MAR VERMELHO;270490
AL;4ª REGIAO DE SAUDE;27004;PAULO JACINTO;270660
AL;4ª REGIAO DE SAUDE;27004;PINDOBA;270700
AL;4ª REGIAO DE SAUDE;27004;QUEBRANGULO;270760
AL;4ª REGIAO DE SAUDE;27004;VICOSA;270940
AL;5ª REGIAO DE SAUDE;27005;ANADIA;270020
AL;5ª REGIAO DE SAUDE;27005;BOCA DA MATA;270100
AL;5ª REGIAO DE SAUDE;27005;CAMPO ALEGRE;270140
AL;5ª REGIAO DE SAUDE;27005;JUNQUEIRO;270400
AL;5ª REGIAO DE SAUDE;27005;ROTEIRO;270780
AL;5ª REGIAO DE SAUDE;27005;SAO MIGUEL DOS CAMPOS;270860
AL;5ª REGIAO DE SAUDE;27005;TEOTONIO VILELA;270915
AL;6ª REGIAO DE SAUDE;27006;CORURIPE;270230
AL;6ª REGIAO DE SAUDE;27006;FELIZ DESERTO;270270
AL;6ª REGIAO DE SAUDE;27006;IGREJA NOVA;270320
AL;6ª REGIAO DE SAUDE;27006;JEQUIA DA PRAIA;270375
AL;6ª REGIAO DE SAUDE;27006;PENEDO;270670
AL;6ª REGIAO DE SAUDE;27006;PIACABUCU;270680
AL;6ª REGIAO DE SAUDE;27006;PORTO REAL DO COLEGIO;270750
AL;6ª REGIAO DE SAUDE;27006;SAO BRAS;270820
AL;7ª REGIAO DE SAUDE;27007;ARAPIRACA;270030
